unique_id,osmid,element_type,addr:housenumber,addr:street,name,opening_hours,shop,wheelchair,geometry,created_by,addr:city,addr:postcode,opening_hours:covid19,phone,access:covid19,delivery:covid19,source,addr:country,note,survey:date,wheelchair:description,website,name:de,name:fr,payment:cash,payment:coins,payment:credit_cards,operator,amenity,level,takeaway,email,payment:debit_cards,id,lon,lat
node/322008400,322008400,node,,,,,bakery,no,POINT (6.1852932 46.1674315),Potlatch 0.10f,,,,,,,,,,,,,,,,,,,,,,,,0,6.1852932,46.1674315
node/413515782,413515782,node,,,,,bakery,,POINT (6.1633276 46.2048161),,Genève,,,,,,,,,,,,,,,,,,,,,,,1,6.1633276,46.2048161
node/447808765,447808765,node,16,Promenade des Champs-Fréchets,Pouly Boulangerie,Mo-Fr 06:00-16:45; Su 06:00-16:45,bakery,yes,POINT (6.078212000000001 46.2374333),,Meyrin,1217.0,,,,,,,,,,,,,,,,,,,,,,2,6.078212000000001,46.2374333
node/680227918,680227918,node,,,,,bakery,,POINT (6.1551485 46.1746557),,,,,,,,,,,,,,,,,,,,,,,,,3,6.1551485,46.1746557
node/725251842,725251842,node,5,Rue du Beulet,Boulangerie Salon de thé Gloria,,bakery,,POINT (6.1255815 46.2049629),,Genève,1203.0,open,,yes,no,,,,,,,,,,,,,,,,,,4,6.1255815,46.2049629
node/1286683108,1286683108,node,,,Boulangerie L' Epi Doré Sarl - Mme Lucia Peixoto,,bakery,yes,POINT (6.1421895 46.1975401),,,1205.0,,,,,,,,,,,,,,,,,,,,,,5,6.1421895,46.197540100000005
node/1318416199,1318416199,node,,,,,bakery,,POINT (6.1185767 46.1903174),,,,,,,,,,,,,,,,,,,,,,,,,6,6.1185767,46.1903174
node/1318707359,1318707359,node,,,Petit Prince,,bakery,,POINT (6.1166788 46.1894956),,,,,,,,,,,,,,,,,,,,,,,,,7,6.1166788,46.1894956
node/1459565474,1459565474,node,,,Au fournil de Carouge,,bakery,limited,POINT (6.1409672 46.1873779),,,,off,,,,,,,,,,,,,,,,,,,,,8,6.1409671999999995,46.1873779
node/1634621723,1634621723,node,60,Rue Ancienne,Choco Shop,,bakery,no,POINT (6.1406892 46.18118939999999),,Carouge,1227.0,,,,,survey,CH,Alex-7 with OSMpad,2013-01-15,seuil d'entrée=12.5cm; hauteur sous table=72cm; WC aux même étages=non; dimension WC=140x83,,,,,,,,,,,,,9,6.1406892,46.181189399999994
node/1637885081,1637885081,node,61,Route de Florissant,Wolfisberg,,bakery,yes,POINT (6.163493900000001 46.1928344),,Genève,1206.0,,,,,,CH,,,"hauteur sous table=73cm, WC au même étage=oui, dimension WC=120x182, espace libre à côté des WC=85cm",,,,,,,,,,,,,10,6.163493900000001,46.192834399999995
node/1637937302,1637937302,node,56,Rue du Village,Paquier,Mo-Fr 06:00-18:30; Su 07:00-12:40,bakery,,POINT (6.0810794 46.2129438),,Vernier,,,,,,,,,,,,,,,,,,,,,,,11,6.0810794,46.2129438
node/1805041720,1805041720,node,,,Oberson,,bakery,limited,POINT (6.1308793 46.2115426),,,,,,,,,,,,,,,,,,,,,,,,,12,6.1308793,46.2115426
node/1867148884,1867148884,node,217,Route d'Aire-la-Ville,Boulangerie-Pâtisserie-Salon de Thé Oberson,,bakery,yes,POINT (6.0329635 46.21311710000001),,,1242.0,,,,,,,,,,,,,,,,,,,,,,13,6.0329635,46.213117100000005
node/1914679877,1914679877,node,,,Salon de thé de l’Athénée,,bakery,,POINT (6.155179 46.1947576),,,,,,,,,,,,,,,,,,,,,,,,,14,6.155179,46.1947576
node/1917476072,1917476072,node,,,,,bakery,,POINT (6.1379975 46.1966336),,Genève,,,,,,,,,,,,,,,,,,,,,,,15,6.1379975,46.1966336
node/1936592167,1936592167,node,,,,,bakery,,POINT (6.1437713 46.1920585),,,,,,,,,,,,,,,,,,,,,,,,,16,6.1437713,46.1920585
node/1936592168,1936592168,node,61,Rue de Carouge,,,bakery,,POINT (6.1440871 46.1923055),,Genève,1205.0,,,,,,,,,,,,,,,,,,,,,,17,6.1440871,46.192305499999996
node/1983459568,1983459568,node,,,Boulangerie du Bouchet,,bakery,,POINT (6.117902 46.2168026),,,,,,,,,,,,,,,,,,,,,,,,,18,6.117902,46.2168026
node/2050880326,2050880326,node,64,rue de Lausanne,Café Loichet,,bakery,,POINT (6.1471487 46.2153631),,,1202.0,,,,,,,,,,,,,,,,,,,,,,19,6.1471487,46.2153631
node/2069991333,2069991333,node,,,Braga,,bakery,,POINT (6.156393 46.1984982),,,,,,,,,,,,,,,,,,,,,,,,,20,6.1563930000000004,46.1984982
node/2069991511,2069991511,node,,,Mage,,bakery,yes,POINT (6.163494999999999 46.1965153),,,,,,,,,,,,,,,,,,,,,,,,,21,6.163494999999999,46.1965153
node/2107473914,2107473914,node,,,,,bakery,,POINT (6.1850896 46.2034945),,,,,,,,,,,,,,,,,,,,,,,,,22,6.1850895999999995,46.2034945
node/2184636205,2184636205,node,,,La favorite,,bakery,,POINT (6.1292504 46.2130349),,Genève,,,,,,,,,,,,,,,,,,,,,,,23,6.1292504,46.2130349
node/2188913107,2188913107,node,60,Boulevard Carl-Vogt,,,bakery,,POINT (6.1358986 46.1978427),,Genève,,,,,,survey,CH,surveyed by Alex-7,2013-03-06,,,,,,,,,,,,,,24,6.1358986,46.1978427
node/2255488638,2255488638,node,,,Tea Room Les Gourmandises d'Emilie,,bakery,,POINT (6.1531552 46.1973049),,,,,,,,,,,,,,,,,,,,,,,,,25,6.1531552000000005,46.1973049
node/2266023895,2266023895,node,9,Rue de Saint-Jean,Boulangerie Ruckstuhl,,bakery,,POINT (6.1262333 46.2045734),,Genève,1203.0,open,,yes,no,,,,,,,Bäkerei Ruckstuhl,Boulangerie Ruckstuhl,yes,yes,yes,,,,,,,26,6.1262333,46.2045734
node/2302910961,2302910961,node,,,Pain Paillasse,,bakery,yes,POINT (6.139680599999999 46.1956494),,Genève,,,,,,,,,,,,,,,,,,,,,,,27,6.139680599999999,46.1956494
node/2311537504,2311537504,node,29,Route de Colovrex,Le Grand Sac' à Pain,"Tu-Fr 06:00-18:30, Sa 06:00-17:00, Su 06:30-13:30",bakery,,POINT (6.1255468 46.23558010000001),,Le Grand-Saconnex,1218.0,,+41 22 788 05 04,,,,,,,,,,,,,,Jeanneret Benedict et Yaima,,,,,,28,6.1255468,46.23558010000001
node/2319855987,2319855987,node,,,,,bakery,,POINT (6.1067517 46.2255181),,,,,,,,,,,,,,,,,,,,,,,,,29,6.1067517,46.2255181
node/2378449308,2378449308,node,5,Place de la Mairie,,,bakery,,POINT (6.1488691 46.1602511),,Troinex,,,,,,,,,,,,,,,,,,,,,,,30,6.1488691,46.160251099999996
node/2627565102,2627565102,node,,,,,bakery,,POINT (6.1221277 46.1754049),,,,,,,,,,,,,,,,,,,,,,,,,31,6.1221277,46.1754049
node/2724000353,2724000353,node,,,,,bakery,,POINT (6.1614741 46.2016305),,,,,,,,,,,,,,,,,,,,,,,,,32,6.1614740999999995,46.2016305
node/2925924201,2925924201,node,285,Route de Saint-Julien,Pause Gourmande,,bakery,,POINT (6.094046 46.154753),,Perly,1258.0,,+41 22 771 21 81,,,,,,,,,,,,,,,cafe,,,,,33,6.094046,46.154753
node/2943962263,2943962263,node,87,Rue de Graman,Boulangerie Patisserie,,bakery,,POINT (6.2323721 46.2113481),,Puplinge,1241.0,,,,,,,,,,,,,,,,,,,,,,34,6.2323721,46.2113481
node/2946346774,2946346774,node,,,,,bakery,,POINT (6.1943359 46.1974696),,,,,,,,,,,,,,,,,,,,,,,,,35,6.1943359000000004,46.1974696
node/2946386690,2946386690,node,,,Boulangerie Patisserie,,bakery,,POINT (6.190999 46.1961567),,,,,,,,,,,,,,,,,,,,,,,,,36,6.190999,46.1961567
node/3004096572,3004096572,node,318,Route de Jussy,Boulangerie Sésame Noir,Tu-Fr 6:30-17:00; Sa-Su 7:00-17:00,bakery,,POINT (6.265727 46.2349631),,Jussy,1254.0,,,,,,,Boulangerie - Patisserie - Tea-Room,,,,,Sesame Noir,,,,,,,,,,37,6.265727,46.2349631
node/3070162697,3070162697,node,,,,,bakery,,POINT (6.2444047 46.301905),,,,,,,,,,,,,,,,,,,,,,,,,38,6.2444047,46.301905
node/3384497888,3384497888,node,106,Avenue du Bois-de-la-Chapelle,Boulangerie Philippe Taillé,,bakery,,POINT (6.100440499999999 46.1849995),,Onex,1213.0,,,,,,,,,,,,,,,,Philippe Taillé,,,,,,39,6.1004404999999995,46.184999499999996
node/3727149826,3727149826,node,299,Route de Meyrin,Oberson,Mo-Fr 06:00-18:30; Sa-Su 06:00-13:30,bakery,,POINT (6.0717915 46.2286799),,Meyrin,1217.0,,+41 22 782 10 45,,,,,,,,www.boulangerie-oberson.ch,,,,,,Boulangerie Oberson SA,,0.0,,,,40,6.0717915,46.2286799
node/3735051671,3735051671,node,,,BrezelKönig,,bakery,limited,POINT (6.1418869 46.2101929),,,,,,,,,,,,,,,,,,,,,0.0,,,,41,6.1418869,46.2101929
node/3735051675,3735051675,node,,,Pougnier,,bakery,limited,POINT (6.142093 46.2100975),,,,,,,,,,,,,,,,,,,,,0.0,,,,42,6.142093,46.210097499999996
