unique_id,osmid,element_type,addr:housenumber,addr:street,amenity,name,opening_hours,geometry,addr:city,website,addr:country,addr:postcode,name:en,smoking,outdoor_seating,wheelchair,phone,cuisine,email,source,note,survey:date,operator,brewery,description,level,billiards:pool,sport,shop,contact:website,start_date,internet_access,name:fr,wheelchair:description,image,ele,name:ru,toilets:wheelchair,internet_access:fee,internet_access:ssid,payment:cash,payment:credit_cards,air_conditioning,amenity_1,amenity_2,lgbtq,min_age,opening_hours:covid19,nodes,building,fixme,layer,id,lon,lat
node/855322883,855322883,node,,,bar,Le Reculet,,POINT (6.1414095 46.2112515),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.1414095,46.2112515
node/946440529,946440529,node,32,Boulevard Helvétique,bar,Soleil Rouge,,POINT (6.155107800000001 46.2016672),Genève,https://soleilrouge.ch/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.155107800000001,46.2016672
node/1454894922,1454894922,node,11,Rue des Etuves,bar,,,POINT (6.1435471 46.2063362),Genève,,CH,1201.0,Black Sheep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6.1435471,46.2063362
node/1641065299,1641065299,node,10,rue Vautier,bar,La Plage,,POINT (6.1420628 46.18523920000001),Carouge,,,1227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6.1420628,46.185239200000005
node/1765237413,1765237413,node,,,bar,New Navy Bar,"Tu-Th 09:00-01:00, Mo 17:00-01:00, Fr 09:00-02:00, Sa 17:00-02:00",POINT (6.1484877 46.19974570000001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6.1484877000000004,46.19974570000001
node/1804876705,1804876705,node,,,bar,Saveurs & Couleurs,,POINT (6.138890200000001 46.21092700000001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6.1388902000000005,46.210927000000005
node/1816392416,1816392416,node,14,Rue Vautier,bar,La Forge,,POINT (6.1420324 46.1850429),,,,1227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6.1420324,46.1850429
node/1932711351,1932711351,node,14,Rue de Montbrillant,bar,La Buvette de l'Ilôt 13,,POINT (6.141774099999999 46.2118046),Genève,,,,,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6.141774099999999,46.2118046
node/1936530944,1936530944,node,9,Place des Augustins,bar,Marius,,POINT (6.1446074 46.1913887),Genève,,,1205.0,,outside,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6.1446074,46.191388700000005
node/1949454579,1949454579,node,1,Rue Ancienne,bar,Qu'Importe,,POINT (6.1415639 46.183187),Carouge,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6.1415639,46.183187
node/1958230270,1958230270,node,,,bar,Bar à Thym,,POINT (6.13706 46.1882725),,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6.13706,46.1882725
