unique_id,osmid,element_type,amenity,created_by,name,geometry,amenity_1,wheelchair,addr:city,addr:housenumber,addr:street,wikidata,wikipedia,brand,brand:wikidata,brand:wikipedia,cuisine,official_name,takeaway,addr:country,addr:postcode,wheelchair:description,diet:gluten_free,diet:vegan,opening_hours,phone,website,outdoor_seating,smoking,internet_access,toilets:wheelchair,bar,payment:cash,source,name:fr,wifi,email,internet_access:fee,layer,note,survey:date,payment:bitcoin,shop,description,level,start_date,drink:espresso,drink:filter_coffee,facebook,contact:website,operator,payment:coins,payment:notes,microroasting,name:en,opening_hours:covid19,nodes,building,building_1,building:levels,id,lon,lat
node/300983485,300983485,node,cafe,Potlatch 0.10c,Buffet de Gare,POINT (6.0858218 46.2227358),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.0858218,46.2227358
node/556051474,556051474,node,cafe,,Boulangerie Pause Gourmande,POINT (6.1209568 46.1686539),bakery,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.1209568,46.1686539
node/615961945,615961945,node,cafe,,Le Moulin des Evaux,POINT (6.0913836 46.1895256),,,Onex,112,Chemin François-Chavaz,Q21512634,"fr:Centre intercommunal de sports, loisirs et nature des Evaux",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6.0913836,46.1895256
node/626085414,626085414,node,cafe,,Starbucks,POINT (6.1450353 46.206384),,,Genève,,,,,Starbucks,Q37158,en:Starbucks,coffee_shop,Starbucks Coffee,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6.1450353,46.206384
node/653154465,653154465,node,cafe,,Café du Gros Chêne,POINT (6.1034237 46.1917775),,no,Onex,27,Avenue des Grandes-Communes,,,,,,,,,CH,1213,"seuil d'entrée=10cm, hauteur sous table=72cm, WC au même étage=oui, dimension WC=130x61, espace à côté WC=25cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6.1034237,46.1917775
node/656492497,656492497,node,cafe,,Café du Grütli,POINT (6.1415985 46.2009495),,yes,,16,Rue du Général-Dufour,,,,,,regional,,,,,,yes,yes,Mo-Th 08:00-00:00; Fr 08:00-01:00; Sa 16:00-01:00; Su 16:00-23:00,+41 22 321 51 58,https://www.cafedugrutli.ch/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6.1415985,46.2009495
node/855146687,855146687,node,cafe,,Serpent Bar,POINT (6.1428319 46.2282356),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6.1428319,46.2282356
node/855146754,855146754,node,cafe,,Bar des Délégués - 3ème étage,POINT (6.1407307 46.2257062),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6.1407307,46.2257062
node/952124302,952124302,node,cafe,,Tour carrée,POINT (6.182779 46.2252481),,,Cologny,61,Quai de Cologny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6.182779,46.2252481
node/956743605,956743605,node,cafe,,Glacier Remor,POINT (6.1400521 46.2015197),,limited,Genève,3,Place du Cirque,,,,,,international;breakfast,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6.1400521,46.2015197
