unique_id,osmid,element_type,amenity,brand,brand:wikidata,brand:wikipedia,cuisine,name,takeaway,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,delivery,drive_through,opening_hours,operator,smoking,outdoor_seating,wheelchair,addr:country,phone,official_name,payment:mastercard,payment:visa,short_name,start_date,website,wheelchair:description,payment:cash,payment:credit_cards,diet:vegetarian,email,internet_access,note,payment:cards,source,survey:date,layer,level,description,name:fr,opening_hours:covid19,name:de,alt_name,ref:vatin,name:en,fast_food,name:ru,nodes,building,id,lon,lat
node/287035005,287035005,node,fast_food,McDonald's,Q38076,en:McDonald's,burger,McDonald's,yes,POINT (6.1149938 46.21804),Genève,27,1211.0,Avenue Louis-Casaï,no,no,"06.30-24.00, 06.30 - 02.00 (Fri+Sat)",McDonalds,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.1149938,46.21804
node/292178737,292178737,node,fast_food,McDonald's,Q38076,en:McDonald's,burger,McDonald's,yes,POINT (6.1441096 46.2090171),Genève,,,,no,no,,McDonald's,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.1441096,46.209017100000004
node/310347696,310347696,node,fast_food,McDonald's,Q38076,en:McDonald's,burger,McDonald's,yes,POINT (6.1296471 46.2133722),Genève,,,Avenue Wendt,no,no,Mo-Su 08:00-01:00,McDonald's,no,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6.1296471,46.2133722
node/582822243,582822243,node,fast_food,,,,kebab,Constantine,,POINT (6.1422171 46.1841662),Carouge,27,,Rue Vautier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6.1422171,46.1841662
node/913687988,913687988,node,fast_food,McDonald's,Q38076,en:McDonald's,burger,McDonald's,yes,POINT (6.0987779 46.2059589),Le Lignon,40,,Route du Bois-des-Frères,,yes,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6.0987779,46.2059589
node/924029243,924029243,node,fast_food,McDonald's,Q38076,en:McDonald's,burger,McDonald's,yes,POINT (6.1134195 46.2188539),Genève,27,1211.0,Avenue Louis-Casaï,no,no,"Su-Th 08:00-22:00, Fr-Sa 08:00-23:00",,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6.1134195,46.2188539
node/941457782,941457782,node,fast_food,McDonald's,Q38076,en:McDonald's,burger,McDonald's,yes,POINT (6.146534099999998 46.2038651),Genève,17,1204.0,Galerie Jean-Malbuisson,,,,,,,no,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6.1465340999999984,46.2038651
node/942043215,942043215,node,fast_food,McDonald's,Q38076,en:McDonald's,burger,McDonald's,yes,POINT (6.1427822 46.1983488),Genève,1,1205.0,Rond-Point de Plainpalais,,,Mo-Su 07:00-24:00,,,,yes,,+41 22 320 71 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6.1427822,46.1983488
node/963381483,963381483,node,fast_food,McDonald's,Q38076,en:McDonald's,burger,McDonald's,yes,POINT (6.1445828 46.2112921),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6.1445828,46.2112921
node/972071685,972071685,node,fast_food,McDonald's,Q38076,en:McDonald's,burger,McDonald's,yes,POINT (6.1526595 46.2019663),Genève,3,1204.0,Cours de Rive,,,,,,,limited,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6.1526595,46.201966299999995
