unique_id,osmid,element_type,amenity,name,wheelchair,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,cuisine,note,opening_hours,phone,website,created_by,capacity,delivery,takeaway,name:fr,description,outdoor_seating,reservation,brand,brand:wikidata,brand:wikipedia,email,name:en,internet_access,toilets:wheelchair,disused,contact:fax,contact:phone,contact:website,source,stars,tourism,wikidata,alt_name,smoking,contact:facebook,start_date,drive_in,contact:email,payment:coins,payment:mastercard,payment:notes,payment:visa,wheelchair:description,wheelchair:description:fr,name:de,designation,addr:housename,fax,level,payment:cash,check_date:opening_hours,diet:vegetarian,internet_access:fee,toilets,payment:bitcoin,payment:litecoin,opening_hours:signed,name:ko,survey:date,payment:credit_cards,payment:debit_cards,payment:maestro,payment:postfinance_card,bar,internet_access:ssid,facebook,opening_hours:url,diet:vegan,old_name,opening_hours:covid19,diet:meat,lgbt,contact:phone_1,country,name:it,contact:mobile,access:covid19,delivery:covid19,takeaway:covid19,brewery,drive_through:covid19,food,diet:organic,image,nodes,building,ele,min_age,building:levels,diet:gluten_free,diet:halal,diet:lactose_free,diet:mediterranean,id,lon,lat
node/279858513,279858513,node,restaurant,Restaurant du Creux-de-Genthod,yes,POINT (6.1636493 46.2639533),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.1636493,46.2639533
node/286656413,286656413,node,restaurant,La Perle du Lac,,POINT (6.1527375 46.2200796),,,,,,,,,,,Potlatch 0.10b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.1527375,46.2200796
node/301528608,301528608,node,restaurant,Coop,yes,POINT (6.0963904 46.2216262),,,,,,,,Mo-We 07:30-19:00; Th 07:30-21:00; Fr 07:30-19:30; Sa 07:00-18:00,,,,100,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6.0963904,46.2216262
node/322009649,322009649,node,restaurant,,,POINT (6.1363427 46.1453459),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6.1363427,46.1453459
node/329028644,329028644,node,restaurant,Café de la Réunion,,POINT (6.1846728 46.1668758),Veyrier,,2,,Chemin de Sous-Balme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6.1846728,46.1668758
node/329029192,329029192,node,restaurant,As de Pique,,POINT (6.1853348 46.1668439),Veyrier,,6,,Place de l'Église,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6.1853348,46.1668439
node/364628551,364628551,node,restaurant,Restaurant du Château de Genthod,,POINT (6.1572604 46.2645683),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6.1572604,46.2645683
node/364784696,364784696,node,restaurant,Pizzeria des Ormeaux,,POINT (6.1187821 46.1898296),,,,,Place des Ormeaux,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6.1187821,46.1898296
node/413515780,413515780,node,restaurant,Chez Lopez,,POINT (6.1618362 46.2063702),,,,,,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6.1618362,46.2063702
node/413531765,413531765,node,restaurant,Restaurant du Tennis,,POINT (6.1706704 46.2074489),Genève,,83,,Route de Frontenex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6.1706704,46.2074489
node/447810241,447810241,node,restaurant,Restaurant de Mategnin,limited,POINT (6.0866498 46.2401151),Meyrin,,37,1217,Avenue Auguste-François-Dubois,,,Tu-Sa 09:00-23:55,+41 22 782 06 88,http://www.cafedemategnin.com,,,,,Restaurant de Mategnin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6.0866498,46.2401151
node/460448894,460448894,node,restaurant,Chez Nina,yes,POINT (6.120049 46.2283206),,,,,,italian,,"Mo-Fr 11:30-15:00,18:00-24:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6.120049,46.2283206
node/460451239,460451239,node,restaurant,Tea Room du Pommier,yes,POINT (6.1207276 46.2288899),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,6.1207276,46.2288899
node/499269576,499269576,node,restaurant,Da Paolo,limited,POINT (6.1570911 46.204745),Genève,,3,,Rue du Lac,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,6.1570911,46.204745
node/499269613,499269613,node,restaurant,La Lanterne,,POINT (6.1577579 46.2040494),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,6.1577579,46.2040494
node/528517470,528517470,node,restaurant,l'Auberge du Grand-Saconnex,,POINT (6.1233514 46.2340653),Le Grand-Saconnex,,175,,Route de Ferney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,6.1233514,46.2340653
node/528517475,528517475,node,restaurant,Delice Ange'Vin,,POINT (6.1274322 46.2359347),Le Grand-Saconnex,,48,,L'Ancienne-Route,,,"Mo-Fr 12:00-14:00,18:00-22:00",+41 22 798 07 27,restaurant-delice-angevin.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,6.1274322,46.2359347
node/528517476,528517476,node,restaurant,I Sapori,,POINT (6.1266914 46.2364546),Le Grand-Saconnex,,22,1218,Route de Colovrex,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,6.1266914,46.2364546
node/528517477,528517477,node,restaurant,La Colombière,,POINT (6.1230294 46.2338358),Le Grand-Saconnex,,171,,Route de Ferney,pizza;italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,6.1230294,46.2338358
node/556051407,556051407,node,restaurant,La julienne,,POINT (6.119591 46.1695335),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,6.119591,46.1695335
node/582823197,582823197,node,restaurant,Clair de Lune,yes,POINT (6.1409844 46.1725888),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,6.1409844,46.1725888
node/617612329,617612329,node,restaurant,Restarant La Matze,,POINT (6.1447694 46.2095161),Genève,,7,1201,Rue Chaponnière,italian_pizza;regional;italian,,Mo-Fr 11:30-23:00,+41 22 732 79 61,https://www.restaurant-la-matze.ch/,,,,,Restaurant La Matze,,,,,,,restolamatze@gmail.com,La Matze Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,6.1447694,46.2095161
node/617612331,617612331,node,restaurant,Restarant Milan,,POINT (6.1448421 46.2095753),Genève,,,,,italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,6.1448421,46.2095753
node/628810749,628810749,node,restaurant,,,POINT (6.1191124 46.190423),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,6.1191124,46.190423
node/628822656,628822656,node,restaurant,La petite Vendée,,POINT (6.1213514 46.1898714),Petit-Lancy,,20,,Chemin de la Vendée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,6.1213514,46.1898714
node/629039199,629039199,node,restaurant,Saint-Georges,,POINT (6.1118591 46.1962488),Petit-Lancy,,12,1213,Route de Saint-Georges,french,,Mo-Fr 08:00-00:00; Sa 10:00-00:00,+41227936445,https://www.saint-georges.ch,,,,,Brasserie St-Georges,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,6.1118591,46.1962488
node/630423879,630423879,node,restaurant,Tennis Club de Lancy,,POINT (6.1152472 46.1898455),Petit-Lancy,,9,,Chemin de la Solitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,6.1152472,46.1898455
node/630639932,630639932,node,restaurant,Hostellerie de la Vendée,,POINT (6.1205791 46.1895558),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,6.1205791,46.1895558
node/676881334,676881334,node,restaurant,Brasserie des tours,yes,POINT (6.1368634 46.1843176),,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,6.1368634,46.1843176
node/707091068,707091068,node,restaurant,L'Espresso,,POINT (6.0875135 46.2174376),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,6.0875135,46.2174376
node/707091080,707091080,node,restaurant,Il Vesuvio,,POINT (6.0924702 46.2191524),Vernier,,161,,Route de Vernier,italian;pizza;pasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,6.0924702,46.2191524
node/707091084,707091084,node,restaurant,Les Tattes,,POINT (6.0949486 46.2178904),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,6.0949486,46.2178904
node/707091085,707091085,node,restaurant,Le Blandonnet,yes,POINT (6.0959831 46.2206533),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,6.0959831,46.2206533
node/707091104,707091104,node,restaurant,Le Vieux-Vernier,,POINT (6.0820112 46.2136051),Vernier,,46,,Rue du Village,,,"Tu-Sa 10:00-14:30,17:30-24:00; Su 10:00-24:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,6.0820112,46.2136051
node/707091107,707091107,node,restaurant,Auberge de la Mairie,,POINT (6.0840147 46.2148206),Vernier,,13,,Rue du Village,,,Mo-Fr 08:00-23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,6.0840147,46.2148206
node/707091111,707091111,node,restaurant,Café de l'Etoile,,POINT (6.0813933 46.2129168),Vernier,,53,,Rue du Village,,,"Mo-Fr 10:00-14:30,17:30-01:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,6.0813933,46.2129168
node/725251865,725251865,node,restaurant,Il Caminetto,,POINT (6.1241628 46.2044992),Genève,,4,1203,Rue du Contrat-Social,french,,Tu-Su 09:00-22:00,+41 22 340 51 68,,,,,,le Petit Bordelais,,,,,,,,,wlan,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,6.1241628,46.2044992
